來源檔案,工作表,分組,原始列號,編號,匿名代碼,第一輔分,第二輔分,第三輔分,第四輔分,名次,註記,升段(組),第1場,第1場成績,第2場,第2場成績,第3場,第3場成績,第4場,第4場成績,第5場,第5場成績,第6場,第6場成績,勝場
丁組戰績表.xlsx,丁組,丁組,2,1,P599,14,13,0,54,34,,,2,X,39↑,X,7,X,4,O,5,X,,,1
丁組戰績表.xlsx,丁組,丁組,3,2,P147,15,0,0,73,1,加賽,丙組,1,O,3,O,8,O,16,O,41,O,,,5
丁組戰績表.xlsx,丁組,丁組,4,3,P453,13,9,0,60,17,,丙組,4,O,2,X,36↑,X,6,O,7,O,,,3
丁組戰績表.xlsx,丁組,丁組,5,4,P074,7,7,0,52,41,,,3,X,6,X,38↑,X,1,X,空,O,,,1
丁組戰績表.xlsx,丁組,丁組,6,5,P416,10,8,0,67,29,,,6,O,8,X,10,X,37↑,X,1,O,,,2
丁組戰績表.xlsx,丁組,丁組,7,6,P089,11,10,0,53,37,,,5,X,4,O,11,X,3,X,12,X,,,1
丁組戰績表.xlsx,丁組,丁組,8,7,P310,11,8,1,65,27,,,8,X,10,X,1,O,12,O,3,X,,,2
丁組戰績表.xlsx,丁組,丁組,9,8,P350,14,8,0,66,13,,丙組,7,O,5,O,2,X,9,X,10,O,,,3
丁組戰績表.xlsx,丁組,丁組,10,9,P551,17,9,0,70,10,,丙組,10,O,11,O,16,X,8,O,20↑,X,,,3
丁組戰績表.xlsx,丁組,丁組,11,10,P474,13,9,0,64,25,,,9,X,7,O,5,O,11,X,8,X,,,2
丁組戰績表.xlsx,丁組,丁組,12,11,P435,12,7,0,68,19,,丙組,12,O,9,X,6,O,10,O,16,X,,,3
丁組戰績表.xlsx,丁組,丁組,13,12,P566,11,8,0,58,28,,,11,X,14,O,13,X,7,X,6,O,,,2
丁組戰績表.xlsx,丁組,丁組,14,13,P300,14,8,0,67,12,,丙組,14,O,16,X,12,O,18,X,15,O,,,3
丁組戰績表.xlsx,丁組,丁組,15,14,P087,10,7,0,59,31,,,13,X,12,X,17,O,15,X,23,O,,,2
丁組戰績表.xlsx,丁組,丁組,16,15,P582,15,11,0,65,22,,,16,X,17,O,18,X,14,O,13,X,,,2
丁組戰績表.xlsx,丁組,丁組,17,16,P294,16,5,0,73,3,,丙組,15,O,13,O,9,O,2,X,11,O,,,4
丁組戰績表.xlsx,丁組,丁組,18,17,P487,10,8,0,61,30,,,18,X,15,X,14,X,21,O,24,O,,,2
丁組戰績表.xlsx,丁組,丁組,19,18,P559,15,5,0,67,6,,丙組,17,O,20,X,15,O,13,O,22,O,,,4
丁組戰績表.xlsx,丁組,丁組,20,19,P189,13,11,0,58,24,,,20,X,21,O,23,O,22,X,25,X,,,2
丁組戰績表.xlsx,丁組,丁組,21,20,P531,15,0,0,76,2,加賽,丙組,19,O,18,O,22,O,28,O,9↓,O,,,5
丁組戰績表.xlsx,丁組,丁組,22,21,P360,10,9,0,57,39,,,22,X,19,X,26,X,17,X,32↑,O,,,1
丁組戰績表.xlsx,丁組,丁組,23,22,P572,13,9,0,64,16,,丙組,21,O,24,O,20,X,19,O,18,X,,,3
丁組戰績表.xlsx,丁組,丁組,24,23,P359,9,7,0,54,40,,,24,X,26,O,19,X,31,X,14,X,,,1
丁組戰績表.xlsx,丁組,丁組,25,24,P561,11,10,0,52,38,,,23,O,22,X,25,X,26,X,17,X,,,1
丁組戰績表.xlsx,丁組,丁組,26,25,P340,11,6,0,65,20,,丙組,26,O,28,X,24,O,27,X,19,O,,,3
